"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2728","Verify Forgot Password navigation and input","JobPortal Suite","2026-01-02","passed","2026-01-02","com.archana.tests.LoginTest","POM Tests","com.archana.tests.LoginTest","testForgotPassword"
"","4","Verify Remember Me keeps user logged in after restart","JobPortal Suite","2026-01-02","unknown","2026-01-02","com.archana.tests.LoginTest","POM Tests","com.archana.tests.LoginTest","testRememberMe"
"","1073","Verify Sign Up Now link works","JobPortal Suite","2026-01-02","passed","2026-01-02","com.archana.tests.LoginTest","POM Tests","com.archana.tests.LoginTest","testSignUpNavigation"
"","2694","Verify login fails when password is incorrect","JobPortal Suite","2026-01-02","passed","2026-01-02","com.archana.tests.LoginTest","POM Tests","com.archana.tests.LoginTest","testInvalidPassword"
"","2866","Verify login fails when both username and password are blank","JobPortal Suite","2026-01-02","passed","2026-01-02","com.archana.tests.LoginTest","POM Tests","com.archana.tests.LoginTest","testBothBlank"
"","2579","Verify case sensitivity in username","JobPortal Suite","2026-01-02","passed","2026-01-02","com.archana.tests.LoginTest","POM Tests","com.archana.tests.LoginTest","testCaseSensitivity"
"","2587","Verify SQL injection attempt is handled","JobPortal Suite","2026-01-02","failed","2026-01-02","com.archana.tests.LoginTest","POM Tests","com.archana.tests.LoginTest","testSqlInjectionLogin"
"","2485","Verify login with special characters is handled","JobPortal Suite","2026-01-02","passed","2026-01-02","com.archana.tests.LoginTest","POM Tests","com.archana.tests.LoginTest","testSpecialCharUsername"
"","4215","Verify login fails when password is blank","JobPortal Suite","2026-01-02","passed","2026-01-02","com.archana.tests.LoginTest","POM Tests","com.archana.tests.LoginTest","testBlankPassword"
"","2813","Verify login fails when username is blank","JobPortal Suite","2026-01-02","passed","2026-01-02","com.archana.tests.LoginTest","POM Tests","com.archana.tests.LoginTest","testBlankUsername"
"","10979","Verify Back to Home link works","JobPortal Suite","2026-01-02","broken","2026-01-02","com.archana.tests.LoginTest","POM Tests","com.archana.tests.LoginTest","testBackToHome"
"","3701","Verify valid login with correct credentials","JobPortal Suite","2026-01-02","passed","2026-01-02","com.archana.tests.LoginTest","POM Tests","com.archana.tests.LoginTest","testValidLogin"
